"","USD INVESTMENT BRACKETS","","","","Advocate for 2% fee as you're going to do extra service for clients on way in and will handle management to enable the fund to scale light, outsourcing frontend client service to my company","","","","","","","","","","","To actually make this work, a lot of processes need to happen on the front end","","","","","","","","",""
"CARRY","from","upto","IRR Calculator - Calculate Internal Rate Of Return Online","","It is a small change on their end, but doubles my instant payourt for hard work on the way in.","","","","","","","","","","","Processes also need to take place in the middle, collecting, and moving of money","","","","","","","","",""
"10.00%","$0","$250,000","Projected Return 1 Year","Projected IRR after 4 years","This is an example of how we're going to advocate for investing smartly in this kind of vehicle and not setting our expectations too high","","","","","","","","","","","","","","","","","","","",""
"15.00%","$251,000","$500,000","12%","115%","We utilize the power of compounding to gain more benefit from each investment decision, whilst keeping the right to make a monthly investment decision","","","","","","","","","","","","","","","","","","","",""
"20.00%","$501,000","$2,000,000","","","You can scale in and out of this exposure as you need, but this is not advice","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Accounts or login pages may need to be set up manually, and clients may wish to get more information.","","","","","","","","",""
"The job you are doing is limiting vol of new funds on the way in to enable clear tracking of how this strategy responds to scale. ","","","","","","","","","","","","","","","","---","","","","","","","","",""
"Start with some 3 month targets","","","","","","","","","","","","","","","","This is not an investment service, it is an investment management platform.","","","","","","","","",""
"Half months are for folks who submitted custom forms and who get an extended deadline to commit for that month","","","","","","","","","","","","","","","","-- ","","","","","","","","",""
"This also allows us to accomodate larger, one off clip sizes from institutions or HNW.","","","","","","","","","","","","","","","","we encourage rhythmic investing, so a commitment each month to a minimum, and a commitment from 6 months to 3 years, it can be shorter.","","","","","","","","",""
"Advocate to detault to the highest carry as you're going to scale into predictable clips starting at 50K USD per month.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","My Running Totals >>>","","COMMISSION","CARRY","","","1970's Mercedes SL Fund","","","","","","","","","","","","","","","",""
"","THE SETUP","","","Invested Capital","Upfront","Y1","Y2","Y3","3 Year Take","Running Total","","Fix the formulas, they've inflated the numbers","","","","","","","","","","","","",""
"","","","Months 1 - 3","72,500","1275","870","2353","3746","$8,243.78","$8,243.78","","","","","","","","","","","","","","",""
"","","","Months 4 - 6","125,000","2500","1500","3180","5062","$12,241.60","$20,485.38","","","","","","","","","","","","","","",""
"","","","Months 7 - 9","187,500","1875","2250","4770","7592","$16,487.40","$36,972.78","<<< Look at what happens if you keep this intake going for longer.","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Amount Funded","Correct Gas (Manual)","COMMISSION","Carry Y1","Y2","Y3","<<< Look at difference when clients stay til year 3","","","","","","","","","","","","","","","",""
"","","Month 1","10,000","0.01","100","120","254.4","405","","","","","","","","","","","","","","","","",""
">>>","","Month 1","10,000","0.02","200","120","254.4","405","","","","","","","","","","","","","","","","",""
"Look at difference","","Month 2","15,000","0.01","150","180","381.6","607","","","","","","","","","","","","","","","","",""
"of 1% and 2% in fees","","Month 3","20,000","0.01","200","240","508.8","810","","","","","","","","","","","","","","","","",""
"We are high-touch custom","","Month 1.5","5,000","0.01","50","60","127.2","202","","","","","","","","","","","","","","","","",""
">>>","","Month 2.5","5,000","0.02","100","60","127.2","202","","","","","","","","","","","","","","","","",""
"","","Month 3.5","7,500","0.01","75","90","190.8","304","","","","","","","","","","","","","","","","",""
"","","Month 4","20,000","0.02","400","240","508.8","810","","","","","","","","","","","","","","","","",""
"","","Month 5","30,000","0.02","600","360","763.2","1215","","","","","","","","","","","","","","","","",""
"","","Month 6","40,000","0.02","800","480","1017.6","1620","","","","","","","","","","","","","","","","",""
"","","Month 4.5","10,000","0.02","200","120","254.4","405","","","","","","","","","","","","","","","","",""
"","","Month 5.5","10,000","0.02","200","120","254.4","405","","","","","","","","","","","","","","","","",""
"","","Month 6.5","15,000","0.02","300","180","381.6","607","","","","","","","","","","","","","","","","",""
">>>","","Month 7","30,000","0.01","300","360","763.2","1215","","","","","","","","","","","","","","","","",""
"Maybe We Can","","Month 8","45,000","0.01","450","540","1144.8","1822","","","","","","","","","","","","","","","","",""
